file,obj_id,class,xmax,xmin,ymax,ymin
2011_006135,0,person,470,391,315,144
2010_005054,1,sofa,427,318,111,42
2010_005054,2,sofa,98,1,111,70
2011_004044,0,person,337,220,375,143
2011_004044,1,person,214,102,375,187
2011_002435,0,sofa,500,23,375,56
2011_002435,1,person,500,153,375,184
2011_002435,2,person,332,2,375,88
2008_000795,0,person,232,1,332,82
2008_000795,1,person,323,187,332,94
2008_000795,2,person,500,291,331,126
2012_000947,0,person,341,118,457,2
2012_002188,0,person,415,217,337,160
2012_002188,1,person,200,106,248,107
2012_002188,2,person,132,1,307,20
2012_002188,3,person,500,349,223,87
2011_000222,0,bird,343,145,366,61
2008_005821,0,bird,438,1,333,1
2008_003288,0,person,451,130,375,127
2007_002120,0,bird,347,228,90,35
2007_002120,1,person,496,64,334,24
2011_004050,0,person,264,190,221,102
2008_000959,1,person,160,124,111,19
2011_005428,0,person,159,59,261,40
2011_002347,1,bird,356,15,485,343
2008_007788,0,bird,372,1,375,34
2008_006496,2,person,313,278,104,49
2011_004736,0,person,307,153,364,170
2008_007950,0,sofa,297,108,354,128
2008_007950,1,person,291,103,483,20
2008_007950,2,person,147,64,263,122
2008_007950,3,person,81,1,239,75
2011_000550,0,sofa,500,126,343,105
2009_004831,1,person,340,103,500,59
2009_004831,3,person,143,121,196,142
2011_006121,0,person,321,1,500,1
2009_002298,0,bird,471,14,266,40
2010_003419,0,bird,500,1,334,9
2009_001961,1,sofa,500,377,331,87
2010_005068,0,bird,425,13,375,89
2010_000110,1,person,333,63,388,1
2011_001100,0,person,351,150,322,124
2010_006207,0,person,329,233,295,84
2010_006207,1,person,392,340,298,83
2008_000971,0,person,159,129,352,255
2008_000971,1,person,187,153,347,248
2008_000971,2,person,221,190,348,261
2008_000965,0,person,500,246,375,7
2008_000965,1,person,332,1,375,51
2010_004404,0,aeroplane,277,67,383,125
2011_005372,0,person,233,200,356,283
2011_001114,0,aeroplane,440,79,208,123
2010_006213,0,person,276,229,232,111
2010_006575,0,person,198,31,375,93
2010_006575,1,person,376,159,375,148
2010_006575,2,person,454,335,375,65
2011_001672,0,person,179,27,348,29
2010_004362,2,person,421,336,81,1
2011_005414,0,person,397,299,375,235
2008_008487,1,person,371,307,340,109
2008_008487,2,person,347,309,217,125
2008_006441,2,person,500,371,375,120
2009_001746,0,sofa,500,17,375,200
2011_001699,0,aeroplane,449,40,253,84
2009_003151,0,bird,372,225,130,81
2012_003533,0,person,312,103,485,3
2011_000587,0,person,165,60,486,138
2011_000587,1,person,215,132,340,193
2012_003255,0,person,235,67,420,104
2009_003637,1,person,283,104,273,33
2008_000756,0,aeroplane,476,368,253,215
2008_000756,1,aeroplane,425,1,265,99
2012_000984,0,person,436,127,375,68
2008_001448,0,aeroplane,469,332,169,126
2008_001448,1,aeroplane,298,1,169,89
2011_003924,0,person,398,1,375,12
2011_003924,1,person,495,257,369,51
2008_000742,0,person,313,137,500,30
2008_000742,1,person,312,23,500,21
2011_004093,0,person,332,273,261,84
2011_004093,1,person,228,140,225,58
2012_000748,0,person,280,157,277,42
2012_003241,0,person,135,81,233,157
2010_001583,0,aeroplane,482,21,212,85
2008_002155,0,person,273,193,281,154
2008_002155,1,person,500,354,375,166
2008_002155,2,person,310,294,171,150
2012_002639,0,person,101,28,303,179
2008_004242,1,person,500,252,375,92
2012_004248,0,person,270,142,248,43
2012_004248,1,person,366,264,229,28
2011_000593,0,person,410,161,375,118
2008_007993,1,person,238,47,311,63
2012_001330,0,person,495,451,222,153
2012_001330,1,person,393,349,213,154
2012_001330,2,person,57,22,199,122
2012_002611,0,person,409,117,316,63
2009_002273,0,person,97,1,297,74
2008_005174,1,person,500,371,226,1
2009_000464,0,person,500,195,375,1
2009_000464,1,person,200,31,375,263
2009_000464,2,person,187,153,290,218
2009_000464,3,person,134,95,276,211
2008_001312,0,person,280,169,233,71
2008_001312,1,person,371,266,236,76
2012_001318,0,person,222,73,458,66
2011_004905,0,person,321,290,243,185
2008_008450,4,person,500,451,188,125
2008_008450,5,person,347,298,239,124
2008_008450,6,person,210,174,229,117
2008_008336,2,person,500,447,231,161
2007_000904,1,person,165,17,238,113
2012_000760,0,person,220,25,375,206
2012_000760,1,person,322,173,375,199
2012_000760,2,person,494,426,274,207
2008_005612,2,person,480,330,375,162
2008_005612,3,person,397,333,375,172
2008_005612,4,person,307,249,375,170
2008_005612,5,person,258,203,375,178
2008_005612,6,person,325,289,317,187
2008_005612,7,person,350,320,285,182
2008_005612,8,person,191,162,324,249
2008_005612,9,person,225,180,310,258
2008_003263,2,person,496,487,211,183
2008_003263,3,person,300,267,162,136
2012_002177,0,person,189,47,336,48
2008_002169,0,person,376,222,375,113
2008_002169,1,person,294,133,375,130
2008_003277,0,person,473,262,375,79
2008_003277,1,person,310,109,375,196
2012_002163,0,person,277,106,430,125
2008_004518,0,person,423,110,324,66
2009_000316,0,sofa,500,243,352,133
2008_001306,0,person,184,92,294,123
2008_001306,1,person,159,90,298,230
2008_001306,2,person,333,269,283,169
2011_004911,0,person,238,132,336,10
2008_008444,0,sofa,500,1,377,154
2008_008444,1,person,400,108,377,85
2008_003511,2,person,453,236,375,26
2012_004274,0,person,234,95,476,128
2010_001756,1,person,473,1,375,1
2012_003094,0,person,341,191,361,3
2010_000448,1,person,500,382,375,130
2010_000448,2,person,412,347,312,226
2010_000448,3,person,500,345,230,54
2010_000448,4,person,349,186,254,56
2010_000448,5,person,185,18,292,32
2010_000448,6,person,88,1,340,155
2010_000448,9,person,415,344,219,88
2009_005087,1,person,214,72,322,94
2011_005158,0,person,219,51,356,138
2012_001683,0,person,316,235,336,138
2012_001683,1,person,142,106,248,183
2011_004520,0,person,500,399,333,1
2011_004520,1,person,338,109,333,51
2010_002539,6,person,243,76,421,94
2010_002539,7,person,350,154,471,233
2009_001587,0,bird,346,176,191,91
2011_001458,0,person,500,262,375,1
2010_006987,0,person,98,1,226,98
2010_001030,1,person,333,113,500,210
2008_003920,0,person,374,129,375,90
2008_005389,1,person,306,297,184,163
2011_007029,0,person,308,34,480,97
2010_006993,0,person,305,220,217,38
2010_001024,0,aeroplane,500,2,332,101
2010_001024,1,person,374,333,163,51
2010_001024,2,person,269,221,138,18
2010_001024,3,person,217,176,145,70
2010_001024,4,person,136,89,152,40
2012_004089,0,person,258,152,320,199
2011_004534,0,person,271,148,375,115
2008_000583,0,person,272,213,300,100
2008_000583,1,person,310,248,289,88
2008_001845,0,person,332,80,394,57
2011_002623,0,person,234,117,465,173
2011_004252,0,person,233,73,336,173
2011_004252,1,person,439,196,304,32
2011_005164,0,person,58,1,281,96
2010_002263,1,person,82,1,375,213
2011_003515,0,person,270,42,318,38
2010_000474,0,person,222,18,333,89
2010_000474,1,person,468,269,333,64
2012_003916,0,person,279,1,374,1
2011_001464,1,sofa,499,1,330,1
2011_007015,0,person,267,153,197,49
2011_003273,0,person,196,50,334,49
2008_008691,3,person,183,114,375,146
2008_008691,4,person,256,181,375,145
2008_008691,5,person,321,248,375,149
2008_008691,6,person,357,268,373,153
2008_006864,0,sofa,500,1,375,245
2008_006864,1,person,357,58,375,55
2008_006864,2,person,321,88,375,201
2008_006864,3,person,246,129,375,234
2011_002179,0,sofa,483,2,375,106
2011_002179,1,person,372,1,375,134
2010_004160,0,person,249,211,207,118
2010_004160,3,person,318,287,153,90
2010_004160,6,person,206,193,126,109
2010_004160,7,person,188,177,123,109
2010_004160,8,person,447,430,138,112
2008_006870,1,person,254,133,234,1
2011_001470,0,person,421,95,314,2
2008_003908,0,person,357,47,500,137
2008_003908,1,person,346,165,369,37
2011_007001,0,person,328,202,455,130
2010_006777,0,person,500,70,375,47
2007_004009,0,aeroplane,274,153,255,106
2007_003000,0,aeroplane,278,193,164,114
2009_002918,0,person,310,1,500,5
2011_005170,0,person,250,208,231,127
2010_003169,0,sofa,484,1,375,34
2010_005518,1,person,113,79,160,86
2010_005518,2,person,152,119,154,92
2010_005518,3,person,145,130,144,91
2011_004285,0,person,167,84,101,24
2011_004285,1,person,460,371,97,19
2012_001898,0,person,375,36,420,73
2011_006492,0,person,220,74,278,59
2011_000785,1,person,286,125,500,97
2011_000785,2,person,332,75,475,200
2012_003731,0,person,386,1,375,1
2009_003353,2,person,376,247,375,87
2008_002425,0,person,235,102,196,26
2010_006944,0,person,350,78,340,51
2008_004054,0,person,358,288,241,9
2008_004054,1,person,261,119,371,157
2008_004054,2,person,222,96,375,251
2008_004054,3,person,360,195,375,237
2008_004054,4,person,451,236,286,211
2008_004054,5,person,500,348,375,253
2008_004054,6,sofa,500,428,267,194
2008_004054,7,sofa,128,1,375,227
2008_004054,8,sofa,412,219,331,224
2012_001126,0,person,159,1,383,61
2012_001126,1,person,496,351,173,7
2011_002192,2,person,200,134,264,87
2011_002192,3,person,364,301,252,81
2011_005825,0,person,353,90,500,50
2012_001132,0,person,374,215,375,167
2012_001132,1,person,185,100,323,159
2011_002186,0,person,276,2,335,107
2011_002186,2,sofa,480,1,335,1
2009_000896,0,person,415,385,118,92
2009_000896,2,person,176,114,256,90
2009_000896,4,person,303,180,325,55
2008_000226,0,person,407,386,231,167
2008_000226,1,person,335,310,209,144
2008_000226,2,person,306,284,152,96
2008_000226,3,person,334,311,109,87
2008_006657,2,person,500,1,296,1
2011_003298,0,person,319,216,176,86
2012_003725,0,person,272,173,397,197
2009_003347,1,person,464,46,375,1
2010_006788,0,person,500,21,369,18
2011_000949,0,person,340,69,382,27
2008_004040,0,person,278,211,286,135
2008_004040,1,person,349,300,293,142
2008_004040,4,person,231,203,195,160
2008_004726,0,aeroplane,454,115,223,112
2008_003049,0,bird,189,140,283,203
2011_006486,0,person,500,75,375,78
2008_002357,0,person,403,117,375,72
2010_004821,0,bird,172,130,180,104
2011_002838,1,person,239,169,230,50
2011_002838,2,person,218,1,285,68
2011_002838,3,person,447,279,290,59
2011_002838,4,person,499,324,266,65
2011_002838,5,person,296,255,258,60
2011_002838,6,person,259,202,256,57
2011_002838,7,person,167,119,204,72
2009_000128,0,person,183,124,500,407
2008_000540,0,person,402,156,375,118
2012_001654,0,person,289,197,301,78
2012_001654,1,person,482,441,143,90
2009_005078,1,person,336,185,194,99
2008_003061,3,person,138,109,47,17
2008_003061,4,person,48,1,212,28
2008_003061,6,person,97,13,228,19
2009_002717,0,sofa,500,1,375,69
2009_002717,1,person,486,76,296,51
2009_003409,0,person,275,37,335,58
2009_003409,1,sofa,476,1,335,198
2012_000562,0,person,188,16,500,183
2010_004809,1,person,318,262,284,173
2011_002810,2,sofa,500,259,342,225
2008_000568,0,person,294,1,375,40
2008_000568,1,person,500,360,375,50
2008_008134,0,bird,326,104,377,67
2008_007207,0,person,211,31,288,14
2008_008652,1,person,196,57,237,1
2010_003800,1,person,165,1,375,1
2012_000204,0,person,219,124,477,237
2008_002419,0,person,337,44,500,21
2008_002419,1,person,159,1,500,31
2008_003707,0,person,464,1,375,1
2008_003707,1,person,500,274,375,33
2012_003719,0,person,42,26,347,301
2009_004414,0,aeroplane,478,14,205,98
2009_004414,1,aeroplane,94,33,227,147
2009_004414,2,aeroplane,91,1,187,149
2008_005362,0,aeroplane,338,200,212,136
2012_004076,0,person,278,80,343,34
2011_000975,0,aeroplane,428,1,373,46
2011_000975,1,aeroplane,500,374,375,100
2012_002407,0,person,208,110,316,22
2009_000672,0,sofa,500,359,184,118
2009_000672,3,sofa,495,12,321,135
2008_001104,0,person,491,247,375,67
2008_001104,1,person,196,1,375,130
2012_000576,0,person,343,174,180,1
2012_002361,0,person,438,146,357,112
2009_002703,1,person,238,117,375,82
2009_002703,2,person,297,224,360,98
2008_003075,0,person,287,129,249,123
2011_004332,0,person,468,165,333,12
2010_003035,1,person,168,30,165,5
2009_001395,0,person,206,114,325,211
2012_001091,0,person,35,11,279,222
2011_004454,0,person,102,75,414,365
2008_003854,0,person,440,394,263,190
2012_003686,0,person,301,221,375,137
2008_003840,6,person,350,327,375,288
2008_003840,7,person,311,282,369,294
2008_003840,8,person,447,416,375,347
2008_003840,9,person,410,390,375,341
2008_003840,10,person,384,368,375,342
2011_001538,1,person,256,181,308,148
2011_006257,0,person,289,77,480,116
2010_004028,1,person,282,228,210,110
2011_004440,0,person,265,186,293,106
2011_004440,1,person,148,53,326,142
2011_003449,0,person,477,439,203,104
2011_003449,1,person,231,161,259,134
2011_006531,0,person,424,54,496,61
2009_002850,6,person,356,291,172,67
2009_002850,7,person,315,279,127,68
2009_002850,8,person,102,74,113,81
2010_001636,0,sofa,500,1,375,105
2010_001636,1,person,204,1,375,95
2010_001636,2,person,500,211,375,51
2008_004849,1,person,448,250,333,83
2008_004849,2,person,268,119,272,47
2008_004849,3,person,183,128,78,1
2008_004849,4,person,415,372,46,1
2008_004849,5,person,375,320,80,48
2008_004849,6,person,500,442,94,60
2008_004849,7,person,500,464,73,37
2012_001913,0,person,216,124,375,233
2012_001913,1,person,335,282,437,145
2008_001919,0,person,295,69,333,84
2008_001919,1,person,398,243,255,103
2008_001919,2,person,327,131,190,1
2008_008083,1,person,277,127,209,55
2011_005010,0,person,214,156,304,136
2011_005010,1,person,358,287,316,121
2011_001276,1,person,299,27,500,25
2011_001276,2,person,55,1,147,24
2011_001276,3,person,20,1,74,1
2010_000500,1,person,441,13,312,20
2011_007161,0,person,279,200,256,93
2011_007161,1,person,350,285,244,69
2010_006617,0,person,420,373,243,110
2008_003868,2,person,307,138,333,100
2011_001510,1,person,171,149,143,102
2010_000266,1,person,500,1,375,1
2011_002019,1,person,206,1,375,1
2009_000909,0,aeroplane,339,1,332,1
2011_004468,0,person,310,272,310,208
2011_005762,0,person,382,170,333,108
2010_006603,0,person,375,45,474,71
2008_004875,0,person,486,361,180,23
2008_004875,1,person,310,137,375,244
2008_004875,2,person,200,88,125,12
2010_002303,1,person,342,55,500,66
2011_003475,0,person,500,193,375,1
2008_008097,3,person,416,383,125,80
2008_008097,4,person,325,244,272,115
2007_001763,2,sofa,500,1,375,48
2011_002780,1,person,369,316,224,175
2011_002780,2,person,186,151,216,177
2011_002780,3,person,282,263,226,186
2011_002780,4,person,264,233,219,182
2011_002958,1,person,500,478,168,44
2011_002958,2,person,475,379,265,1
2011_002958,3,person,375,228,333,43
2011_002958,4,person,230,112,319,39
2008_005558,1,person,231,136,272,79
2007_002281,1,person,214,189,96,54
2008_004646,0,aeroplane,500,96,333,1
2008_004646,1,aeroplane,268,1,134,48
