,detector,n_features,step_size,codebook_size,n_neighbors,distance,method,reduced_dimensions,regular_accuracy,dim_red_accuracy
0,dense_sift,500,50,50,13,manhattan,pca,5,0.891104070192542,0.8871557397026566
1,dense_sift,500,50,50,13,manhattan,pca,10,0.891104070192542,0.8896904703875214
2,dense_sift,500,50,50,13,manhattan,pca,15,0.891104070192542,0.8890080428954423
3,dense_sift,500,50,50,13,manhattan,pca,20,0.891104070192542,0.8903728978796003
4,dense_sift,500,50,50,13,manhattan,pca,25,0.891104070192542,0.8927613941018767
5,dense_sift,500,50,50,13,manhattan,pca,30,0.891104070192542,0.8901779185961491
6,dense_sift,500,50,50,13,manhattan,pca,35,0.891104070192542,0.8917377528637582
7,dense_sift,500,50,50,13,manhattan,pca,40,0.891104070192542,0.8904703875213259
8,dense_sift,500,50,50,13,manhattan,pca,45,0.891104070192542,0.890665366804777
9,akaze,200,-,200,13,euclidean,pca,5,0.8410508263174307,0.8417524165887121
10,akaze,200,-,200,13,euclidean,pca,10,0.8410508263174307,0.8426878702837542
11,akaze,200,-,200,13,euclidean,pca,15,0.8410508263174307,0.8438571874025569
12,akaze,200,-,200,13,euclidean,pca,20,0.8410508263174307,0.8425319613345806
13,akaze,200,-,200,13,euclidean,pca,25,0.8410508263174307,0.8431555971312753
14,akaze,200,-,200,13,euclidean,pca,30,0.8410508263174307,0.8434674150296227
15,akaze,200,-,200,13,euclidean,pca,35,0.8410508263174307,0.8411287807920175
16,akaze,200,-,200,13,euclidean,pca,40,0.8410508263174307,0.8422201434362332
17,akaze,200,-,200,13,euclidean,pca,45,0.8410508263174307,0.8412846897411912
18,sift,300,-,200,13,euclidean,pca,5,0.8397860621058514,0.8390676139538596
19,sift,300,-,200,13,euclidean,pca,10,0.8397860621058514,0.8391474415263032
20,sift,300,-,200,13,euclidean,pca,15,0.8397860621058514,0.8391474415263032
21,sift,300,-,200,13,euclidean,pca,20,0.8397860621058514,0.8389079588089726
22,sift,300,-,200,13,euclidean,pca,25,0.8397860621058514,0.8388281312365291
23,sift,300,-,200,13,euclidean,pca,30,0.8397860621058514,0.8390676139538596
24,sift,300,-,200,13,euclidean,pca,35,0.8397860621058514,0.8390676139538596
25,sift,300,-,200,13,euclidean,pca,40,0.8397860621058514,0.8389079588089726
26,sift,300,-,200,13,euclidean,pca,45,0.8397860621058514,0.8387483036640856
