,detector,n_features,step_size,codebook_size,n_neighbors,distance,train_accuracy,val_accuracy,std_train_accuracy,std_val_accuracy,train_f1_weighted,val_f1_weighted,std_train_f1_weighted,std_val_f1_weighted
0,dense_sift,500,10,50,13,manhattan,0.8910553438647362,0.8666829173166927,0.0020096685297661416,0.00769022803400435,0.8655523841916788,0.8320593992115934,0.003251020236326146,0.009772670784962599
1,dense_sift,500,10,100,13,manhattan,0.8891125225757708,0.866293452907707,0.0019220388473099336,0.00840348954942986,0.8642547410330578,0.8318469559176411,0.002861628657856219,0.007716600997894049
2,dense_sift,500,10,500,13,manhattan,0.872866558050552,0.8430906037411088,0.0008382691676795224,0.0033508366239413958,0.8495430192318698,0.8160249227800936,0.0014023772862141561,0.002904835587553181
3,dense_sift,500,20,50,13,manhattan,0.8834302676164719,0.8640015980756188,0.00604812663826944,0.008593836559231708,0.8591459523905853,0.8363375533206695,0.0036950712033275946,0.006920519581627827
4,dense_sift,500,20,100,13,manhattan,0.8782423636519656,0.8638065712686986,0.0021294927965480512,0.006124788232763643,0.8525551592838413,0.835625493902497,0.0018285008473581002,0.006573837895407498
5,dense_sift,500,20,500,13,manhattan,0.8662511465364784,0.8443092504401931,0.003132965921939827,0.010115493169579432,0.8425636958795599,0.820629258274671,0.0019052345542413507,0.0077309162746161345
6,dense_sift,500,50,50,13,manhattan,0.8753942902289411,0.8668771458460678,0.001769238035811197,0.0049521041650153735,0.8438288332297614,0.8328298839849457,0.0019374276707479357,0.007062787947954844
7,dense_sift,500,50,100,13,manhattan,0.8653388022082398,0.8533273728609962,0.01381568144250368,0.015052000005612751,0.8393782318104983,0.8239432000947924,0.008385840366220568,0.010831523313886956
8,dense_sift,500,50,500,13,manhattan,0.8682775910870958,0.858055304668327,0.003612396183686153,0.008697563200123628,0.8376250075640668,0.8250230296516419,0.0019934965435205805,0.008091238591396273
9,dense_sift,500,100,50,13,manhattan,0.8574981705071791,0.852595105266199,0.02367325537371261,0.020955153597150944,0.8238466672749214,0.8174839800052592,0.010843498311834187,0.009484506456435482
10,dense_sift,500,100,100,13,manhattan,0.8582989037474189,0.8527410380040933,0.01432522567059238,0.0168795959053909,0.8294003341202785,0.8223049479691165,0.003766928394700003,0.005754315380863968
11,dense_sift,500,100,500,13,manhattan,0.8702134869931439,0.8627828563434936,0.005060700981613863,0.006513724977852743,0.8388551581845848,0.8279541369000258,0.00211174137768693,0.004250693586219368
12,dense_sift,1000,10,50,13,manhattan,0.8910553438647362,0.8666829173166927,0.0020096685297661416,0.00769022803400435,0.8655523841916788,0.8320593992115934,0.003251020236326146,0.009772670784962599
13,dense_sift,1000,10,100,13,manhattan,0.8891125225757708,0.866293452907707,0.0019220388473099336,0.00840348954942986,0.8642547410330578,0.8318469559176411,0.002861628657856219,0.007716600997894049
14,dense_sift,1000,10,500,13,manhattan,0.872866558050552,0.8430906037411088,0.0008382691676795224,0.0033508366239413958,0.8495430192318698,0.8160249227800936,0.0014023772862141561,0.002904835587553181
15,dense_sift,1000,20,50,13,manhattan,0.8834302676164719,0.8640015980756188,0.00604812663826944,0.008593836559231708,0.8591459523905853,0.8363375533206695,0.0036950712033275946,0.006920519581627827
16,dense_sift,1000,20,100,13,manhattan,0.8782423636519656,0.8638065712686986,0.0021294927965480512,0.006124788232763643,0.8525551592838413,0.835625493902497,0.0018285008473581002,0.006573837895407498
17,dense_sift,1000,20,500,13,manhattan,0.8662511465364784,0.8443092504401931,0.003132965921939827,0.010115493169579432,0.8425636958795599,0.820629258274671,0.0019052345542413507,0.0077309162746161345
18,dense_sift,1000,50,50,13,manhattan,0.8753942902289411,0.8668771458460678,0.001769238035811197,0.0049521041650153735,0.8438288332297614,0.8328298839849457,0.0019374276707479357,0.007062787947954844
19,dense_sift,1000,50,100,13,manhattan,0.8653388022082398,0.8533273728609962,0.01381568144250368,0.015052000005612751,0.8393782318104983,0.8239432000947924,0.008385840366220568,0.010831523313886956
20,dense_sift,1000,50,500,13,manhattan,0.8682775910870958,0.858055304668327,0.003612396183686153,0.008697563200123628,0.8376250075640668,0.8250230296516419,0.0019934965435205805,0.008091238591396273
21,dense_sift,1000,100,50,13,manhattan,0.8574981705071791,0.852595105266199,0.02367325537371261,0.020955153597150944,0.8238466672749214,0.8174839800052592,0.010843498311834187,0.009484506456435482
22,dense_sift,1000,100,100,13,manhattan,0.8582989037474189,0.8527410380040933,0.01432522567059238,0.0168795959053909,0.8294003341202785,0.8223049479691165,0.003766928394700003,0.005754315380863968
23,dense_sift,1000,100,500,13,manhattan,0.8702134869931439,0.8627828563434936,0.005060700981613863,0.006513724977852743,0.8388551581845848,0.8279541369000258,0.00211174137768693,0.004250693586219368
